categoria,funcion,proveedor,modelo_o_actor,que_la_dispara,unidad,costo_unitario_usd,instrumentada,donde_vive,notas
Busqueda,Investigacion web de Vera,Tavily,search,webSearch tool,por busqueda,,NO,tools/web.tools.js,Sin instrumentar
Busqueda,Lectura de pagina,Tavily,extract,webFetch tool,por pagina,,NO,tools/web.tools.js,Sin instrumentar
Busqueda,Sondeo de visibilidad IA,Multi,ChatGPT/Perplexity/Gemini,visibility_probe,por sondeo,0.68990,SI,visibility-sensor.service.js,El 2do mas caro por evento
API plataforma,Meta - insights de pagina,Meta,Graph API,meta_page_insights,por corrida,0.00000,NO,platform-insights-sensors,Gratis: cuota por rate limit
API plataforma,Meta - publicaciones,Meta,Graph API,meta_posts,por corrida,0.00000,NO,platform-insights-sensors,Gratis
API plataforma,Meta - anuncios propios,Meta,Graph API,meta_own_ads_sync,por corrida,0.00000,NO,meta-own-ads.service.js,Gratis. 400 anuncios por barrido
API plataforma,Meta - campanas e insights,Meta,Graph API,meta_campaign_ad_insights,por corrida,0.00000,NO,sync-meta-ad-insights,Gratis
API plataforma,Meta - audiencias,Meta,Graph API,meta_ads_audiences_sync,por corrida,0.00000,NO,platform-insights-sensors,Gratis
API plataforma,TikTok,TikTok,open.tiktokapis,tiktok_video_insights,por corrida,0.00000,NO,platform-insights-sensors,Gratis
API plataforma,Google Ads,Google,googleads API,google_ads_insights,por corrida,0.00000,NO,platform-insights-sensors,Gratis
API plataforma,GA4,Google,analyticsdata API,ga4_audience_demographics,por corrida,0.00000,NO,platform-insights-sensors,Gratis
API plataforma,Shopify,Shopify,Admin API,shopify_metrics,por corrida,0.00000,NO,platform-insights-sensors,Gratis
API plataforma,Mercado Libre,MercadoLibre,API,mercadolibre_metrics,por corrida,0.00000,NO,platform-insights-sensors,Gratis
Produccion,Flujo Hero Shots + Video,n8n/Comfy,-,El usuario produce una pieza,por ejecucion,4.98000,SI,flow_runs,token_cost 155 creditos. Lo mas caro de la plataforma
Produccion,Flujo Time Feeds Intelligence,n8n,-,Produccion,por ejecucion,4.98000,SI,flow_runs,token_cost 50
Produccion,Flujo Product Feature Ads,n8n,-,Produccion,por ejecucion,4.98000,SI,flow_runs,token_cost 50
Produccion,Flujo Render 3D,ComfyDeploy,-,Produccion,por ejecucion,4.98000,SI,flow_runs,token_cost 50
Produccion,Flujo Fotografia Macro,ComfyDeploy,-,Produccion,por ejecucion,4.98000,SI,flow_runs,token_cost 50
Produccion,Flujo Escenarios de Uso,n8n,-,Produccion,por ejecucion,4.98000,SI,flow_runs,token_cost 50
Produccion,Flujo UGC Secuencial,n8n,-,Produccion,por ejecucion,4.98000,SI,flow_runs,token_cost 5
Produccion,Generador directo de imagen,KIE.ai,-,Vera genera una pieza,por imagen,,NO,direct-generator.service.js,120 req/min de tope
Produccion,Generacion de imagen,OpenAI,gpt-image-2,Generacion directa,por imagen,,NO,-,Sin instrumentar
Infraestructura,Servidor ai-engine,Hetzner,CCX33,Siempre encendido,por mes,,NO,-,Costo fijo mensual: NO esta en el ledger
Infraestructura,VM por organizacion,Hetzner,-,Una por org con Vera dedicada,por mes,,NO,hetzner.provisioner.js,2 VMs vivas hoy. Costo fijo por cliente
Infraestructura,Servidor content-flows,Hetzner,-,Flujos n8n,por mes,,NO,-,Costo fijo mensual
Infraestructura,Base de datos,Supabase,-,Siempre,por mes,,NO,-,Costo fijo + storage
Infraestructura,Almacenamiento y CDN,Cloudflare R2,-,Media archivada,por GB,,NO,media-archive.service.js,Creativos y miniaturas. Crece sin tope hoy
Infraestructura,Hosting del frontend,Netlify,-,Siempre,por mes,,NO,-,Costo fijo mensual
