Categoria,Pagina,Rutas,Vista (archivo),Auth,Funcion,Resumen
Billing,Planes,"/plans, /org/.../plans",PlanesView.js,Auth,Comparativa de tiers de suscripcion,"3 tiers (Creator/Team/Agency). Header con contexto del org (plan, creditos, storage, renovacion). CTAs Upgrade/Downgrade/Current/Trial. Stripe no conectado."
Billing,Cancelar suscripcion,"/plans/cancel, /org/.../plans/cancel",CancelSubscriptionView.js,Auth,Cancelacion 1-click compliant,"Cancela en 1 click (FTC click-to-cancel + ley California). Encuesta de salida opcional, sin guilt-tripping ni loop. Edge function provision-cancel-subscription es stub (marca cancellation_pending + email) hasta conectar Stripe."
Dev Portal (PaaS),Dev Dashboard,/dev/dashboard,DevDashboardView.js,Auth (lead),Centro de mando del portal /dev,"Monitoreo global de plataforma (rol lead): Atencion (alertas), Indicadores (gauges), trafico scraping + top flujos, KPIs, motor ai-engine + salud, Negocio & FinOps. RPCs dev_dashboard_* agregan server-side. Viz SVG vanilla. Cero datos falsos."
Dev Portal (PaaS),Dev Flows,"/dev/flows, /dev/flows/:flowId",DevFlowsView.js,Auth (dev),Gestion de flujos de IA,"Ver todos los flujos, filtrar por estado (draft/testing/published), crear/editar, ver estadisticas."
Dev Portal (PaaS),Dev Builder,"/dev/builder, /dev/builder/:flowId",DevBuilderView.js (+ builder/* mods),Auth (dev),Constructor visual de flujos,"Constructor visual de content_flows: define input_schema y ui_layout_config. Modulos: Inputs, Modules, Persistence, Productivity, Advanced, Graph, Enterprise."
Dev Portal (PaaS),Dev Test,"/dev/test, /dev/test/:flowId",DevTestView.js,Auth (dev),Testing de flujos,"Probar flujos contra webhooks (test/prod), historial de ejecuciones, analizar respuestas/errores, guardar configs de prueba, logs en tiempo real."
Dev Portal (PaaS),Dev Webhooks,/dev/webhooks,DevWebhooksView.js,Auth (dev),Gestion de webhooks,"Ver/gestionar webhooks de todos los flujos, URLs test/prod, health check (ping HTTP 2xx), rate limiting en chequeo masivo, auto-refresh mientras la vista este abierta."
Dev Portal (PaaS),Dev Logs,/dev/logs,DevLogsView.js,Auth (dev),Logs y debug,"Ver logs de flujos, filtrar por severidad (info/warning/error/critical), ambiente (test/prod) y flujo; ver detalle de cada log."
Dev Portal (PaaS),Web Vitals,/dev/web-vitals,DevWebVitalsView.js,Auth (dev),Dashboard de Web Vitals (FEAT-027),"Lee samples de webvitals.js (frontend_errors) via RPC dashboard_web_vitals. 5 cards (LCP/CLS/FCP/INP/TTFB) con p75+p95+samples y color por thresholds de Google, filtro tiempo+ruta, sparkline p75/dia. Gated is_developer()."
Dev Lead (admin),Provisioning usuarios,/dev/provisioning/users,DevLeadUserProvisioningView.js,Auth (lead),Wizard de creacion de usuario,"Pasos: Tipo (Member/Owner/Developer) -> Datos (signup real -> provision-user-start) -> Verificacion (polling 3s) -> Final (form dinamico por tipo) -> provision-user-finalize. Layout con progress bar + dot canvas n8n."
Dev Lead (admin),Provisioning crear org,/dev/provisioning/create-org,DevLeadCreateOrgView.js,Auth (lead),Wizard de creacion de organizacion,"3 pasos: Identidad (name, marca, slogan, logo, docs, idioma, TZ) -> Operacion (nivel autonomia + MFA) -> Revisar (owner + summary; insert real por cablear). Mismo lenguaje visual que el wizard de usuario."
Dev Lead (admin),Equipo (developers),/dev/lead/team,DevLeadTeamView.js,Auth (lead),Gestion de developers,"Lista users con is_developer=true. Seccion arriba con provisioning_jobs pendientes; el lead puede reanudar el wizard o cancelar el job."
Dev Lead (admin),Consumidores,/dev/lead/consumers,DevLeadConsumersView.js,Auth (lead),Monitoreo de usuarios no-developers,"Tabla de todos los usuarios NO developers: estado y afiliaciones, editar a que org(s) pertenecen. Backend edge function admin-consumers (list/affiliate/remove_affiliation)."
Dev Lead (admin),Organizaciones,/dev/lead/orgs,DevLeadOrgsView.js,Auth (lead),CRUD lite de organizaciones,"Listar (name, plan, creditos, owner, fecha), crear (modal name+owner), editar (name, marca, slogan, logo), borrar (soft delete deleted_at). Lista filtra deleted_at IS NULL."
Dev Lead (admin),Categorias,/dev/lead/categories,DevLeadCategoriesView.js,Auth (lead),CRUD categorias de flujos,"CRUD de content_categories y content_subcategories."
Dev Lead (admin),Input Schemas,/dev/lead/input-schemas,DevLeadInputSchemasView.js,Auth (lead),CRUD tipos de input del Builder,"CRUD sobre ui_component_templates: los tipos de input que ofrece el Builder."
Dev Lead (admin),Entrenamiento Vera,/dev/lead/vera-training,DevLeadVeraTrainingView.js,Auth (lead),Entrenamiento del vector global de Vera,"Dos pestanas: Entrenar (inyecta archivo/prompt/imagen al vector global; backend /api/vera/train pendiente) y Conocimientos (lista ai_global_vectors por fuente, burbuja -> chunks)."
Dev Lead (admin),Lexico,/dev/lead/lexicon,DevLeadLexiconView.js,Auth (lead),Admin del lexico de dimensiones,"Vocabulario (dimension_lexicon) para clasificar contenido/tendencias por dimension (topic/mood/tone). Aprueba/rechaza palabras 'learned' proposed. Temas huerfanos (v_orphan_topics) = keywords en tendencia sin cubrir. RPCs review_lexicon_word / get_orphan_topics."
Dev Lead (admin),Billing console,/dev/lead/billing,DevLeadBillingView.js,Auth (lead),Console de billing (solo Lead),"Tabs: Plans (CRUD tabla plans), Credit Packages (CRUD credit_packages que pinta CreditsShop), Subscriptions (placeholder F2), Usage (placeholder F2). 1 credito=$1 USD; packages venden a descuento. Auto-sync Stripe/Wompi pendiente F3."
404,404 (redirect),/404,app.js (clase inline),Publica,Pagina no encontrada,"Reemplaza el entry en history con location.replace a https://aismartcontent.io/404 (el 404 vive en la landing) para que 'atras' no vuelva a la URL rota."
Infra (clases base),BaseView,-,BaseView.js,-,Clase base de todas las vistas SPA,"Cada subclase implementa renderHTML() retornando template literal. No usa templates externos. Provee liveRefresh/startLivePoll, helpers y ciclo de vida (onEnter/render)."
Infra (clases base),PublicBaseView,-,PublicBaseView.js,-,Base para paginas publicas (marketing),"No renderiza en #app-container sino dentro del shell persistente #public-shell (header/footer no se re-renderizan, sin parpadeo). Subclases implementan renderContent()."
Infra (clases base),DevBaseView,-,DevBaseView.js,-,Base para vistas del portal /dev,"onEnter comun (auth + navegacion developer, opcional requireLead), escapeHtml/truncateText, showNotification/showError unificados."
